"Component","Value","Footprint","Placed","X","Y","Rotation"
"Fid1","Fiducial","USER","False","15.91","2.9","0"
"Fid2","Fiducial","USER","False","13.7","49.961","0"
"Fid3","Fiducial","USER","False","63.529","42","0"
"Fid4","Fiducial","USER","False","63.529","11.55","0"
"C4","08055C104KATDA","C0805","True","35.54","18.5","0"
"C5","08055C104KATDA","C0805","True","58.13","17.66","180"
"C8","08055C104KATDA","C0805","True","47.93","29.45","270"
"C9","08055C104KATDA","C0805","True","49.1","8.65","90"
"C10","08055C104KATDA","C0805","True","46.5","8.66","90"
"C11","08055C104KATDA","C0805","True","50.04","29.47","270"
"C13","08055C104KATDA","C0805","True","13.64","42.39","0"
"C14","08055C104KATDA","C0805","True","20.975","44.15","180"
"C2","08055C104KATDA","C0805","True","19.075","18.85","270"
"C15","08055C104KATDA","C'0805","True","11.98","18.99","270"
"C6","C0805C180C5GACTU","CAPC2012X88N","True","40.075","26.525","180"
"C7","C0805C180C5GACTU","CAPC2012X88N","True","40.075","31.4","180"
"C12","TCJA106M010R0300","CAPPM3216X180N","True","35.41","20.76","180"
"FB1","BLM18HE102SH1D","BLM18SP221SN1B","True","51.865","28.375","180"
"R1","R 0.1W SMTF 1.0K","SM0805","True","26.075","16.875","270"
"R4","R 0.1W SMTF 1.0K","SM0805","True","26.075","19.1","90"
"R8","R 0.1W SMTF 1.0K","SM0805","True","13.41","33.54","90"
"R10","R 0.1W SMTF 1.0K","SM0805","True","55.725","28.8","180"
"R11","R 0.1W SMTF 1.0K","SM0805","True","55.7","31.375","180"
"R12","R 0.1W SMTF 1.0K","SM0805","True","55.65","33.925","180"
"R13","R 0.1W SMTF 1.0K","SM0805","True","55.7","36.425","180"
"R7","R 0.1W SMTF 1M","SM0805","True","13.38","35.8","180"
"R2","R 0.1W SMTF 10K","SM0805","True","27.73","23.99","90"
"R3","R 0.1W SMTF 10K","SM0805","True","25.14","23.91","90"
"R9","R 0.1W SMTF 10K","SM0805","True","13.41","44.55","0"
"R5","R 0.1W SMTF 22","SM0805","True","13.38","40.24","0"
"R6","R 0.1W SMTF 22","SM0805","True","13.38","38.02","0"
"5V","LG_R971","LEDC2012X90N","True","30.25","17","180"
"12V","LG_R971","LEDC2012X90N","True","30.25","20.1","180"
"LED3","LG_R971","LEDC2012X90N","True","59.575","28.8","180"
"LED4","LG_R971","LEDC2012X90N","True","59.575","31.4","180"
"LED5","LG_R971","LEDC2012X90N","True","59.6","33.925","180"
"LED6","LG_R971","LEDC2012X90N","True","59.6","36.425","180"
"BR1","RR264MM-400TR","RR264MM400TR","True","13","30.4","270"
"Y1","RH100-24.000-20-3050-EXT-TR","RH10024000203050EXTTR","False","40.8","30.03","0"
"3v","TLE42744GSV33HTMA1","SOT230P700X180-4N","False","5.44","17.82","180"
"IC5","USBLC6-2SC6","SOT95P280X145-6N","False","20","36.994","0"
"C1","EEE-1CA470AP","EEE1AA101SP","True","27.6","10.345","0"
"C3","EEE-1CA470AP","EEE1AA101SP","True","18.74","10.315","0"
"Q1","FDN340P","SOT95P237X112-3N","False","9.02","26.52","90"
"IC2","LMV358IDGKR","SOP65P490X110-8N","False","19.17","23.09","180"
"IC1","LP2985AIM5-3.8_NOPB","SOT95P280X145-5N","False","15.49","19.04","0"
"F1","MF-MSMF050-2","FUSC4632X85N","False","4.11","26.59","270"
"IC4","PIC32MZ2048EFH064-250I_PT","QFP50P1200X1200X120-64N","False","47.34","18.66","180"
